"Data Source","Indicateurs du développement dans le monde",

"Last Updated Date","2023-07-25",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Aruba","ABW","Taux d’achèvement de l’école primaire, garçons (% du groupe d’âge pertinent)","SE.PRM.CMPT.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100.761039733887","97.1599426269531","88.6956481933594","89.8044662475586","92.2973022460938","92.8104629516602","87.8826522827148","94.5362091064453","93.3588790893555","92.2779922485352","98.4334182739258","91.7880783081055","","","92.0377883911133","100.818550109863","","","","","","","","",
"","AFE","Taux d’achèvement de l’école primaire, garçons (% du groupe d’âge pertinent)","SE.PRM.CMPT.MA.ZS","","","","","","","","","","","","","","50.2612915039063","51.3692817687988","52.4020118713379","53.3259086608887","54.9340209960938","56.365550994873","58.8983192443848","59.434700012207","60.588020324707","61.8544807434082","61.7625503540039","64.5676879882813","60.4117393493652","59.5582084655762","58.1513786315918","56.7130699157715","55.0651588439941","55.7313385009766","56.0678100585938","55.056568145752","55.8399391174316","54.2233505249023","54.2622108459473","54.2105293273926","53.9581184387207","53.0446891784668","53.1897392272949","53.7787017822266","56.2073097229004","58.3509407043457","60.2845115661621","61.7298698425293","64.1682510375977","65.8858871459961","67.5413284301758","70.5591888427734","73.0529174804688","71.9147720336914","71.114013671875","70.1584396362305","69.2659912109375","68.9101181030273","68.2992477416992","68.0220794677734","69.1577529907227","70.8898620605469","71.8276596069336","73.1032104492188","","",
"Afghanistan","AFG","Taux d’achèvement de l’école primaire, garçons (% du groupe d’âge pertinent)","SE.PRM.CMPT.MA.ZS","","","","","","","","","","","","","","","28.5410900115967","","","29.8050899505615","32.4492301940918","","42.9889297485352","51.7044982910156","","","24.642219543457","25.8327598571777","","","","","","","","39.9001197814941","","","","","","","","","","","","","","","","","","","","","","","96.5420913696289","101.294212341309","103.283256530762","102.11784362793","","","",
"","AFW","Taux d’achèvement de l’école primaire, garçons (% du groupe d’âge pertinent)","SE.PRM.CMPT.MA.ZS","","","","","","","","","","","","","61.2491912841797","61.4329605102539","61.0282783508301","62.2323188781738","62.7142791748047","63.5517692565918","64.9950866699219","64.7036285400391","64.7201919555664","65.3361892700195","65.71484375","65.9300689697266","65.9104309082031","65.4805526733398","65.8130264282227","65.9357299804688","66.0980377197266","65.5332489013672","65.8151321411133","66.1523208618164","66.2102813720703","66.3036804199219","66.0782470703125","65.6669006347656","66.5122909545898","66.6866683959961","66.8871383666992","67.3665084838867","67.9823913574219","68.8998794555664","69.2582168579102","69.1494827270508","70.5186614990234","72.2383193969727","76.7594299316406","72.9665603637695","67.8078231811523","70.1304016113281","70.5769271850586","71.6977005004883","71.6189422607422","72.5147171020508","72.7805633544922","73.6264724731445","74.2598037719727","73.7246932983398","73.4035720825195","73.1118698120117","72.9851303100586","","",
"Angola","AGO","Taux d’achèvement de l’école primaire, garçons (% du groupe d’âge pertinent)","SE.PRM.CMPT.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","43.8264999389648","43.2860794067383","45.7797889709473","59.0089683532715","","","","","","","","","","","",
"Albanie","ALB","Taux d’achèvement de l’école primaire, garçons (% du groupe d’âge pertinent)","SE.PRM.CMPT.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","90.9824371337891","","","","95.7117233276367","95.5914535522461","","93.6255722045898","92.7242126464844","","","95.028450012207","92.0022125244141","90.6784591674805","89.0428695678711","91.742431640625","97.848991394043","90.2941284179688","98.5813980102539","97.5388793945313","97.7903900146484","100.562423706055","98.8586807250977","102.29239654541","98.435920715332","97.0201797485352","",
"Andorre","AND","Taux d’achèvement de l’école primaire, garçons (% du groupe d’âge pertinent)","SE.PRM.CMPT.MA.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Le monde arabe","ARB","Taux d’achèvement de l’école primaire, garçons (% du groupe d’âge pertinent)","SE.PRM.CMPT.MA.ZS","","","","","","","","","","","60.7372207641602","60.6661109924316","60.156551361084","61.834171295166","63.3444519042969","67.0038528442383","68.5365524291992","70.8920974731445","70.6323165893555","64.9031829833984","67.0095291137695","70.6254425048828","70.7111511230469","71.5051574707031","73.8049468994141","78.0938873291016","76.4704132080078","75.8880767822266","76.0009994506836","75.9555587768555","77.0686569213867","76.6463165283203","77.2023086547852","77.1766204833984","77.7674102783203","78.4808883666992","79.2241973876953","79.7979583740234","80.5061874389648","81.0138702392578","80.2368621826172","81.0728302001953","81.4804000854492","83.9737091064453","85.6375122070313","86.9507217407227","84.6459121704102","86.436653137207","88.8107299804688","86.3015594482422","87.7831802368164","88.1873931884766","89.7580871582031","87.3785171508789","88.4034729003906","86.985237121582","86.4951095581055","86.1929931640625","87.0781173706055","88.2021102905273","89.0340423583984","","",
"Émirats arabes unis","ARE","Taux d’achèvement de l’école primaire, garçons (% du groupe d’âge pertinent)","SE.PRM.CMPT.MA.ZS","","","","","","","","","","","","","","","44.959041595459","42.1095695495605","53.0510902404785","59.790210723877","64.408821105957","68.2143478393555","68.6652221679688","73.396598815918","85.4838714599609","83.7154769897461","78.7579193115234","75.7781295776367","74.6853637695313","74.4392395019531","73.7917098999023","82.7853012084961","93.0118026733398","99.4971923828125","96.9579620361328","93.5505828857422","91.5074310302734","89.4654235839844","85.1855163574219","87.1599884033203","84.1235504150391","81.854362487793","78.5952682495117","74.786018371582","81.668571472168","","","","","96.3190231323242","","","","","93.7036972045898","94.1602630615234","97.6212463378906","102.674873352051","","","","111.340446472168","104.800422668457","","",
"Argentine","ARG","Taux d’achèvement de l’école primaire, garçons (% du groupe d’âge pertinent)","SE.PRM.CMPT.MA.ZS","","","","","","","","","","","67.8103408813477","69.0261001586914","","","","76.6223831176758","76.2649536132813","","","","","","","","","","","","","","","","","","","","91.6290130615234","89.8430099487305","97.7288513183594","96.8948822021484","97.2243118286133","96.5553512573242","100.190971374512","97.9871368408203","96.4342498779297","94.4775314331055","97.0572891235352","99.7804489135742","103.185043334961","103.490852355957","103.974937438965","104.10961151123","103.697929382324","102.098426818848","103.604461669922","103.452690124512","103.467811584473","100.222793579102","98.9663772583008","98.9047012329102","101.116539001465","","",
